姓名,身份证号,手机号,业务名称,所在区县,户口性质,基数,总价,开始日期,截至日期,下单日期,状态
客服1,111111111111111111,11111111111,公积金,北京丰台,城市,2500.0,2500.0,2018-10-01,2018-10-31,2018-09-02,3
客服1,111111111111111111,11111111111,公积金,北京丰台,城市,2500.0,250.0,2018-09-01,2018-09-30,2018-09-02,3
客服3,444444444444444444,44444444444,公积金,北京丰台,农村,132.0,121.0,2018-10-01,2018-10-31,2018-09-02,3
客服7,777777777777777777,77777777777,社保,北京丰台,城市,2345.0,123.0,2018-09-01,2018-09-30,2018-09-02,1
客服6,666666666666666666,66666666666,社保,北京丰台,城市,3456.0,123.0,2018-09-01,2018-09-30,2018-09-02,1
客服2,222222222222222222,22222222222,社保,北京丰台,农村,2500.0,25.0,2018-10-01,2018-10-31,2018-09-01,1
客服5,555555555555555555,55555555555,社保,北京丰台,城市,2500.0,360.0,2018-11-01,2018-12-01,2018-08-31,1
客服5,555555555555555555,55555555555,社保,北京丰台,城市,2600.0,2500.0,2018-10-01,2018-10-31,2018-08-31,1
客服5,555555555555555555,55555555555,社保,北京丰台,城市,2500.0,2600.0,2018-09-01,2018-09-30,2018-08-31,1
客服1,111111111111111111,11111111111,社保,北京丰台,城市,2500.0,23.0,2018-12-01,2018-12-31,2018-08-31,3
客服3,444444444444444444,44444444444,公积金,北京丰台,农村,1200.0,363.0,2018-09-01,2018-09-30,2018-08-30,3
客服3,444444444444444444,44444444444,社保,北京大兴,农村,1000.0,23.0,2018-09-01,2018-09-30,2018-08-30,3
客服1,111111111111111111,11111111111,社保,北京丰台,城市,2500.0,2530.0,2018-10-01,2018-10-31,2018-08-30,3
客服1,111111111111111111,11111111111,社保,北京丰台,城市,2500.0,5620.0,2018-09-01,2018-09-30,2018-08-30,3
客服3,333333333333333333,33333333333,公积金,北京丰台,城市,25000.0,2536.0,2018-10-01,2018-10-31,2018-08-30,2
客服3,333333333333333333,33333333333,公积金,北京海淀,城市,2500.0,1245.0,2018-09-01,2018-09-30,2018-08-30,2
客服2,222222222222222222,22222222222,社保,北京丰台,农村,2500.0,2500.0,2018-09-01,2018-09-30,2018-08-30,1
客服2,222222222222222222,22222222222,社保,北京丰台,农村,2500.0,1692.0,2018-08-01,2018-08-31,2018-08-30,1
客服1,111111111111111111,11111111111,公积金,北京丰台,城市,3500.0,1600.0,2018-08-01,2018-08-31,2018-08-30,3
客服1,111111111111111111,11111111111,社保,北京丰台,城市,2500.0,1096.0,2018-08-01,2018-08-31,2018-08-30,3
